cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Alma Vorarlberger Bergkäse (10 months)	unpasteurized cow's milk	Austria	"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal"		"hard, artisan"	34%		natural	"brittle, firm, flaky and open"	yellow	"piquant, spicy, strong, tangy"	"aromatic, strong"	Rupp AG	Rupp Vorarlberger Bergkäse		no	"Alma Vorarlberger Bergkäse (10 months) is a traditionally produced hard cheese made from raw cow milk coming from defined regions in Vorarlberg. It is manufactured by Rupp AG in Austria and sold under the brand name 'Alma'. Vorarlberger Bergkäse contains 34% fat in dry matter and has a light brown, lubricated bark. The isolated, pea-cherry-sized eye formation is matt to shiny and evenly distributed throughout. Sometimes there are cracks in the dough as a result of extended maturation. The paste is flaky, cut resistant and is unpainted yellowish in color. It is aged in cellars for at least 10 months, which thereby develops a distinct, strong flavor. A powerful Pinot Blanc or a fruity, delicate wine with good body (Burgundy, Blue Franc) harmonizes perfectly with the spicy flavor of Vorarlberger Bergkäse.This celebrated cheese has won many international awards including World Cheese Awards Super Gold 2012, World Cheese Awards Silver 2012, World Cheese Awards Gold 2013, World Cheese Awards Silver 2014, World Cheese Awards Bronze 2014 and Gold Kasermandl 2014."
Alma Vorarlberger Bergkäse (12 months)	unpasteurized cow's milk	Austria	"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal"		"hard, artisan"	34%		natural	"brittle, firm, flaky and open"	yellow	"piquant, spicy, strong, tangy"	"aromatic, strong"	Rupp AG	Rupp Vorarlberger Bergkäse		no	"Alma Vorarlberger Bergkäse (12 months) is a traditionally produced hard cheese made from raw cow milk coming from defined regions in Vorarlberg. It is manufactured by Rupp AG in Austria and sold under the brand name 'Alma'. Vorarlberger Bergkäse contains 34% fat in dry matter and has a light brown, lubricated bark. The isolated, pea-cherry-sized eye formation is matt to shiny and evenly distributed throughout. It is aged in cellars for at least 12 months, which thereby develops a distinct, strong, spicy flavor. A powerful Pinot Blanc or a fruity, delicate wine with good body (Burgundy, Blue Franc) harmonizes perfectly with the spicy flavor of Vorarlberger Bergkäse.This celebrated cheese has won many international awards including World Cheese Awards Silver 2014."
Alma Vorarlberger Bergkäse (6 months)	unpasteurized cow's milk	Austria	"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal"		"hard, artisan"	34%		natural	"firm, open and supple"	cream	"piquant, spicy, tangy"	aromatic	Rupp AG	Rupp Vorarlberger Bergkäse		no	"Alma Vorarlberger Bergkäse (6 months) is a traditionally produced hard cheese made from raw cow milk coming from defined regions in Vorarlberg. It is manufactured by Rupp AG in Austria and sold under the brand name 'Alma'. Vorarlberger Bergkäse contains 34% fat in dry matter and has a smeared-on greasy, light-brown rind. The scattered, pea-cherry-sized eye formation is matt to shiny and evenly distributed throughout. The body ranges from firm to more supple and is ivory-colored to light yellow in color. It is aged in cellars for at least 6 months, which thereby develops a unique strong spicy flavor.This celebrated cheese has won many international awards including World Cheese Awards Bronze 2012, World Cheese Awards Gold 2013, World Cheese Awards Silver 2014 and Gold Kasermandl 2014."
Almnäs Tegel	unpasteurized cow's milk	Sweden	Västra Götaland		"hard, smear-ripened"			washed	open and smooth	straw	"caramel, fruity, nutty"	"fruity, sweet"	Almnäs Bruk			no	"Almnäs Tegel is a hard-pressed ""scalded"" Swedish brick cheese influenced by the handmade bricks manufactured by the Almnäs brick factory from the late 18th century onwards. It has a unique rind with footprints of a child, reminiscent of real footprints left behind by the farmworkers on the brick floor. Besides the cheese, even today, every clay brick manufactured at Almnas has a child's footprint imprinted on it.Almnäs Tegel is a huge cheese, weighing approximately 27 kgs. It has a rustic, brick red washed-rind achieved by smearing it with a bacterial culture called Brevibacterium linens. The interior paste is smooth, with occasional small holes and cracks. The color varies from ivory to straw, depending on the season when it is made. It has a sweet, fruity aroma, reminiscent of butterscotch with a slightly gritty mouth-feel. The rind at times smells of orange or pineapple. Almnäs Brick is aged between 18 and 30 months."
Alpe di Frabosa	cow's milk	Italy			semi-soft						bitter	"milky, mushroom"				no	"Alpe di Frabosa is an Italian cheese with the characteristic aroma. It is made from fresh cow’s milk with cream. The ageing procedure under-skilled technique preserves scent of cheese. Usually maturation period can be as long as 90 days and further refinement is done to have the flavor of crust’s porcini mushroom. Crusty bread and a glass of wine served with a slice of this cheese make a great combination for a meal of herdsman, i.e. mushroom pickers. The speciality from the Italian Alps!"
Alpha Tolman	unpasteurized cow's milk	United States	"Greensboro, VT"	Swiss Cheese	"semi-hard, artisan"			washed	"dense, elastic and smooth"	yellow	"buttery, caramel, fruity, full-flavored, nutty"	"fruity, nutty"	Jasper Hill Farm				"Produced by Jasper Hill Farm in Vermont, Alpha Tolman is an Appenzeller inspired cheese with buttery, fruity & nutty flavor when young, maturing into bold meaty, caramelized onion flavors as it ages. Made from raw cow's milk, the brine-washed wheels are matured for eight to eleven months resulting in a dense, crystalline and pliant texture.Alpha Tolman melts beautifully onto a plate of fingerling potatoes, cured meat and natural sour pickles. Try pairing it with an onion jam, good, hearty ale or a plumy red wine."
Alpicrème	goat's milk	France			soft											no	"Alpicrème cheese is manufactured in Les Alpilles located in Alpes-de-Haute-Provence in the south of France. Made from goat's milk, this cheese has a natural rind and it is soft in consistency. As the name suggests, Alpicrème is a soft creamy and buttery cheese which tastes delicious when served with dry fruity white wine."
Alpine Gold	pasteurized cow's milk	Canada	British Columbia		"semi-soft, brined"			washed	supple	cream	"floral, grassy, savory"	"earthy, floral, rich"	The Farm House Natural Cheeses			no	"Alpine Gold is a semi-soft cheese made from cow's milk, made by The Farm House Natural Cheeses based in British Columbia, Canada. This cow cheese is ripened for over 6 weeks at about 56 degrees Fahrenheit temperature. During ripening the wheels are washed 3 times a week with brine that develops a golden-orange rind. This straw-colored cheese with a semi-soft interior has grassy and floral notes. Accompany it with Riesling or Gewurztraminer, or golden ale."
Alpine-Style	unpasteurized cow's milk	United States	Maine	Swiss Cheese	"semi-hard, artisan"			natural	"creamy, crumbly, open and smooth"	yellow	"buttery, smooth"	rich					"This cheese is currently unavailable on official site. Alpine-style Baby Swiss from Fuzzy Udder Creamery is made from raw cow's milk. It has rich buttery overtones and a smooth finish, very characteristic of the Swiss family. The cheese is available for sale in whole wheels, _ wheels, _ wheels or individually wrapped slices."
Alps Rebel	unpasteurized cow's milk	Austria	Sulzberg		"semi-hard, artisan"	48%		natural	creamy and open	yellow	"buttery, citrusy, milky, piquant"	"fruity, lactic, milky, nutty"	Sulzberger Käserebellen Sennerei GmbH	Alpenrebell			"Alps Rebel is a creamy, fine-melting cheese produced by Sulzberger Käserebellen Sennerei in Austria. The cheese processed only from the purest hay-milk of cows that are fed on dried hay, herbs and grains of corn and not on industry concentrates. This ""allergy-friendly"" cheese is 100% GMO-free and without fermented foodstuffs. It has got a great rich buttermilk and butter flavor, as well as delicate citrus notes. The blend of sweet and salty adds that extra appeal. The aromas are of fresh cream, vanilla, malt and roasted chestnuts."
Alta Badia	pasteurized cow's milk	Italy			semi-soft	33.5  g/100g			firm		"milky, sharp, tangy"		Mila LATTE MONTAGNA ALTO ADIGE				"A cheese made from pasteurised cow's milk produced by Mila LATTE MONTAGNA ALTO ADIGE. Having straw-color inside and closed textured. After the period of six months, this cheese develops light brown rind and closed consistency. The name is derived from Alta Badia Valley of Dolomite Mountains. It tastes great with red and fruity wines. It is also served in local dishes by melting it or as a table cheese."
Alverca	pasteurized goat's and sheep's milk	Portugal			semi-hard	40-50%										no	"Alverca, a soft or semi-hard cheese originates from Portugal. It is made from either sheep's or cow's milk. It is high in fats (about 40 to 50%) and is aged for 6 months. The cheese is a perfect pair of wine called Riesling."
Amablu Blue cheese	unpasteurized cow's milk	United States		Blue	"semi-soft, artisan, blue-veined"				crumbly		tangy		Caves of Faribault				"Amablu Blue cheese is made from whole cows unpasteurized milk. A hand made cheese, mixed with a little amount of cheese culture, rennet and Penicillium rocquefortii. It has a rich and creamy flavor with a little salty taste. Maturity is attained within a period of 75 days."
Amalthée	goat's milk	France	Charentes-Poitou		"soft, soft-ripened"			bloomy			"grassy, mild, sweet"	"goaty, grassy, mild, sweet"				no	"Made from goat’s fresh raw milk, Amalthée cheese is produced in the Poitou-Charentes region of central western France. This brie-like cheese has a natural white mould rind which comes through the traditional cheesemaking methods. Amalthée is a soft textures cheese and it offers the fine taste with fruity red, dry fruity white or dry light white wine."
Amarelo de Beira Baixa	unpasteurized goat's and sheep's milk	Portugal	Beira Baixa Province		"semi-firm, artisan"	45-60%			firm	yellow	"bitter, buttery, earthy, grassy, spicy, tangy"	"aromatic, buttery"		Yellow cheese from the lower Beira		no	"Amarelo comes from the Beira Baixa region of Portugal. It is made from unpasteurised, raw sheep and goat milk. It has a distinctive aroma, sharp but pleasant taste, and buttery tangy flavor. Its flavor is rustic and strong, like Portugal’s sea salt. Its texture goes from medium-soft and slightly gooey to semi-hard. It tastes great with Pinot Noir or red wines."
Ambert	pasteurized or unpasteurized cow's milk	France	"Auvergne, Rhône-Alpes"	Blue	"semi-hard, artisan, blue-veined"	50%		natural	"creamy, dense and supple"	blue	"savory, sharp, smooth, tangy"	"fruity, strong, woody"			Fourme d'Ambert	no	"Produced in the Auvergne region, Fourme d'Ambert (or simply Ambert) is one of France's oldest cheeses, dating back to the Roman occupation nearly 1,000 years ago. It is said that the Druids and the Gauls had developed the art of making this unique cheese. In 2002 it was separated from the Fourme de Montbrison, an identical cheese, to receive an individual AOC status. The cheese is a traditional, farmhouse blue cheese that can be either co-operative or artisanal. Fourme d'Ambert is more supple and dense than most blues. Milk from cows grazing on either lower or higher mountain pastures is used to produce the cheese. Although the cheese matures in 40 days, it is cave-aged for two-three months for optimum quality. During the ageing time, it is injected with Vouvray moelleux, a sweet white wine. It is easily recognizable by its unusually tall cylindrical shape. The pâté is cream colored with prominent blue veining. The cheese is inoculated with Penicillium roqueforti spores for the growth of blue veins. Slightly tangy, savoury flavor infused by the bacteria, beautifully complements the distinct notes of butter and cream. Wine connoisseurs can enjoy the cheese with Sauternes and other dessert wines as well as full-bodied reds such as Rhone’s, Pinot Noirs and Syrah. Similar cheeses include Fourme de Montbrison, Bleu de Montbrison, Bleu de Gex and Bleu de Septmoncel. Try the cheese as a snack with bread and fruit or crumble it on salads."
